[6077, 430, 238, 562, 302, 28, 32, 16, 187, 25, 127, 203, 107, 16, 22, 33, 431, 117, 50, 25, 210, 22, 90, 12, 153, 11, 90, 792, 69, 9, 35, 37, 657, 59, 25, 9, 57, 19, 13, 7, 71, 18, 9, 7, 80, 45, 100, 46, 1531, 221, 32, 24, 86, 14, 18, 6, 51, 8, 31, 8, 99, 9, 32, 16, 82, 35, 11, 56, 82, 52, 12, 20, 83, 23, 9, 78, 44, 36, 23, 23, 60, 10, 74, 180, 60, 21, 10, 8, 21, 14, 13, 30, 70, 57, 3, 176, 14, 102, 43, 95, 94, 196, 69, 57, 44, 135, 3, 14, 87, 33, 121, 79, 72, 13, 115, 134, 159, 53, 20, 8, 27, 29, 5, 3, 14, 9, 0, 52, 43, 33, 57, 155, 35, 2, 3, 3, 15, 2, 15, 4, 96, 101, 0, 225, 20, 1, 26, 440, 32, 3, 2, 0, 23, 1, 5, 24, 22, 2, 1, 129, 760, 2, 3, 2, 8, 3, 2, 5, 9, 2, 3, 2, 87, 3, 4, 5, 85, 3, 3, 3, 20, 3, 4, 2, 14, 2, 3, 5, 83, 24, 3, 4, 24, 11, 9, 32, 12, 1, 75, 3, 7, 3, 76, 2, 21, 4, 2, 5, 53, 2, 5, 40, 9, 5, 4, 0, 7, 3, 10, 2, 7, 4, 1, 8, 242, 612, 356, 448, 14, 1870, 9, 10, 36, 24, 144, 287, 9, 2, 3, 19, 33, 18, 22, 25, 35, 8, 17, 17, 52, 58, 36, 20, 45, 25, 38]
[6741, 355, 220, 380, 226, 67, 73, 34, 815, 191, 30, 12, 24, 35, 25, 84, 486, 123, 94, 24, 68, 11, 57, 16, 107, 11, 14, 7, 124, 33, 6, 54, 1046, 195, 34, 11, 287, 586, 57, 130, 80, 8, 6, 14, 32, 5, 65, 5, 81, 73, 19, 15, 29, 37, 55, 33, 31, 7, 2, 2, 87, 9, 10, 43, 457, 138, 72, 171, 86, 104, 8, 9, 71, 63, 12, 32, 29, 9, 109, 6, 63, 8, 31, 44, 37, 7, 7, 0, 22, 19, 51, 2, 12, 1, 1, 173, 49, 180, 43, 124, 146, 235, 56, 60, 57, 121, 5, 4, 57, 96, 84, 163, 102, 9, 114, 128, 240, 23, 58, 2, 56, 34, 5, 0, 12, 1, 0, 1, 376, 26, 89, 32, 95, 0, 1, 4, 34, 4, 0, 1, 100, 1, 134, 456, 45, 16, 16, 5, 19, 0, 0, 0, 20, 180, 6, 0, 45, 0, 2, 2, 92, 2, 23, 10, 24, 27, 4, 1, 16, 2, 0, 1, 47, 1, 36, 158, 52, 39, 23, 25, 28, 11, 1, 2, 15, 0, 0, 0, 149, 56, 1, 54, 49, 0, 12, 3, 9, 3, 1, 1, 14, 0, 30, 0, 16, 4, 2, 0, 49, 3, 2, 5, 8, 4, 5, 0, 23, 5, 2, 3, 11, 5, 0, 6, 134, 1, 13, 5, 8, 3, 2, 6, 10, 1, 0, 3, 18, 3, 7, 0, 11, 10, 5, 4, 36, 2, 2, 3, 196, 17, 1, 1, 63, 3, 19]
[3826, 211, 87, 38, 140, 29, 39, 21, 59, 42, 59, 24, 24, 13, 6, 4, 104, 16, 35, 16, 15, 6, 27, 7, 12, 4, 27, 14, 10, 6, 15, 13, 238, 7, 11, 13, 17, 25, 2, 8, 15, 9, 2, 3, 15, 117, 85, 31, 73, 15, 11, 18, 26, 1, 4, 5, 3, 1, 19, 1, 10, 22, 6, 1, 62, 10, 5, 18, 14, 8, 3, 19, 5, 7, 3, 1, 9, 16, 10, 3, 59, 3, 10, 21, 15, 11, 2, 1, 8, 1, 3, 6, 7, 5, 1, 56, 22, 96, 17, 43, 73, 149, 30, 26, 21, 74, 3, 10, 30, 33, 81, 68, 82, 1, 98, 90, 148, 45, 12, 9, 34, 14, 1, 2, 10, 1, 2, 5, 48, 12, 6, 2, 25, 9, 14, 35, 46, 8, 9, 6, 29, 45, 1, 28, 17, 2, 1, 7, 9, 2, 14, 12, 19, 21, 10, 10, 7, 8, 1, 85, 226, 1, 0, 2, 1, 0, 1, 0, 8, 1, 1, 5, 3, 2, 1, 1, 11, 2, 5, 2, 6, 0, 3, 0, 7, 1, 11, 1, 23, 22, 6, 2, 19, 0, 1, 0, 2, 2, 23, 0, 3, 1, 23, 1, 8, 0, 3, 0, 17, 0, 1, 4, 9, 0, 3, 0, 6, 1, 5, 5, 7, 3, 6, 0, 40, 157, 128, 125, 9, 166, 0, 5, 21, 12, 30, 129, 5, 4, 0, 3, 17, 14, 2, 2, 3, 1, 0, 25, 33, 2, 1, 2, 30, 35, 44]
[8590, 324, 405, 434, 187, 68, 48, 30, 172, 256, 52, 35, 40, 24, 45, 18, 380, 41, 87, 19, 70, 9, 23, 10, 137, 11, 5, 10, 70, 27, 5, 29, 462, 44, 39, 35, 271, 307, 50, 149, 196, 6, 5, 9, 50, 14, 81, 12, 119, 142, 39, 45, 69, 25, 21, 23, 53, 24, 58, 7, 64, 32, 36, 36, 150, 52, 86, 84, 82, 119, 33, 20, 37, 82, 3, 40, 58, 20, 62, 20, 120, 27, 30, 109, 69, 11, 6, 3, 37, 2, 44, 3, 21, 4, 0, 271, 49, 188, 84, 170, 89, 172, 49, 87, 57, 197, 6, 10, 82, 52, 154, 138, 80, 4, 171, 157, 266, 64, 33, 10, 103, 22, 7, 1, 14, 1, 0, 11, 446, 38, 78, 12, 54, 20, 5, 6, 40, 3, 1, 1, 48, 0, 84, 806, 58, 20, 19, 13, 34, 6, 7, 6, 24, 253, 0, 1, 34, 2, 6, 15, 67, 3, 151, 45, 95, 47, 18, 6, 15, 2, 5, 0, 18, 0, 15, 196, 77, 31, 25, 18, 40, 11, 7, 11, 28, 17, 7, 1, 225, 40, 8, 37, 38, 1, 10, 3, 22, 7, 2, 1, 28, 4, 0, 2, 13, 2, 3, 2, 44, 14, 11, 10, 28, 4, 4, 6, 17, 0, 1, 1, 19, 0, 8, 21, 193, 2, 3, 2, 16, 3, 3, 5, 25, 3, 1, 5, 19, 7, 1, 5, 32, 3, 1, 3, 21, 6, 6, 7, 249, 4, 4, 1, 29, 11, 11]
[2566, 263, 89, 43, 82, 30, 30, 56, 48, 11, 27, 31, 26, 15, 23, 7, 79, 47, 35, 10, 22, 5, 20, 3, 28, 5, 10, 5, 7, 1, 19, 2, 81, 1, 3, 3, 4, 2, 2, 1, 13, 3, 2, 0, 5, 30, 56, 21, 46, 11, 8, 7, 28, 1, 8, 2, 8, 1, 7, 2, 3, 2, 0, 2, 30, 10, 4, 10, 8, 11, 1, 12, 8, 7, 3, 2, 14, 10, 2, 2, 18, 6, 9, 12, 8, 7, 3, 2, 4, 1, 1, 5, 3, 6, 0, 72, 13, 54, 22, 14, 25, 53, 9, 15, 19, 55, 1, 1, 24, 14, 40, 43, 28, 6, 49, 58, 67, 23, 8, 3, 12, 9, 3, 0, 6, 0, 0, 19, 12, 6, 1, 1, 14, 2, 1, 2, 0, 0, 1, 1, 24, 28, 0, 22, 8, 1, 1, 1, 10, 1, 1, 2, 5, 0, 1, 6, 4, 9, 0, 24, 100, 2, 0, 0, 4, 0, 0, 0, 3, 2, 0, 4, 1, 0, 0, 1, 17, 9, 0, 0, 3, 1, 0, 1, 4, 2, 0, 0, 24, 10, 1, 0, 3, 1, 1, 1, 10, 1, 18, 0, 3, 0, 19, 0, 4, 8, 0, 0, 6, 1, 0, 1, 7, 1, 1, 0, 7, 0, 2, 1, 1, 1, 1, 2, 20, 91, 57, 49, 2, 75, 3, 3, 13, 10, 19, 34, 7, 1, 1, 0, 6, 10, 0, 0, 0, 1, 0, 1, 10, 23, 3, 1, 17, 2, 14]
[16765, 1540, 1218, 734, 776, 411, 406, 350, 498, 396, 559, 224, 309, 223, 205, 197, 383, 134, 296, 159, 189, 101, 220, 130, 268, 122, 154, 260, 205, 127, 333, 272, 1805, 548, 440, 290, 177, 461, 94, 168, 607, 170, 171, 207, 187, 259, 255, 157, 697, 201, 278, 200, 140, 92, 98, 53, 253, 77, 344, 79, 121, 76, 98, 113, 421, 231, 467, 268, 1230, 292, 2160, 189, 327, 224, 294, 392, 166, 134, 146, 559, 191, 68, 312, 84, 112, 152, 69, 48, 304, 144, 84, 98, 115, 80, 59, 303, 331, 589, 284, 335, 544, 924, 290, 264, 952, 745, 58, 164, 408, 254, 578, 726, 554, 121, 697, 784, 814, 298, 182, 145, 347, 247, 270, 235, 124, 56, 81, 105, 358, 199, 139, 119, 128, 45, 84, 82, 125, 80, 96, 81, 251, 72, 76, 245, 232, 87, 143, 360, 295, 91, 115, 108, 164, 95, 293, 275, 177, 94, 71, 45, 174, 57, 70, 83, 107, 51, 54, 32, 77, 68, 90, 102, 139, 98, 88, 84, 337, 194, 94, 89, 98, 117, 56, 45, 97, 110, 82, 69, 213, 246, 65, 308, 217, 62, 90, 97, 90, 38, 229, 35, 83, 51, 220, 45, 73, 209, 48, 35, 322, 323, 50, 75, 89, 52, 58, 49, 131, 79, 83, 142, 74, 150, 30, 210, 274, 63, 333, 55, 234, 207, 80, 362, 372, 367, 654, 539, 202, 160, 204, 171, 832, 372, 270, 158, 344, 225, 229, 1451, 1680, 176, 241, 300, 234, 157, 208]
[3088, 164, 83, 140, 92, 32, 26, 11, 22, 77, 33, 8, 13, 16, 5, 4, 150, 17, 42, 40, 44, 16, 37, 26, 59, 10, 3, 6, 38, 9, 2, 9, 158, 66, 7, 7, 109, 8, 18, 44, 14, 5, 2, 2, 9, 12, 70, 6, 26, 10, 5, 5, 19, 3, 1, 1, 13, 4, 12, 2, 50, 3, 0, 0, 164, 44, 11, 25, 24, 13, 11, 9, 15, 9, 2, 3, 15, 11, 8, 9, 24, 4, 15, 13, 21, 6, 6, 3, 5, 1, 0, 0, 4, 1, 1, 50, 22, 60, 46, 29, 43, 86, 32, 28, 16, 92, 1, 8, 54, 22, 58, 78, 51, 3, 53, 89, 85, 29, 12, 4, 30, 18, 1, 0, 2, 1, 0, 3, 112, 2, 12, 5, 17, 2, 0, 2, 8, 0, 1, 1, 11, 0, 7, 163, 12, 1, 2, 3, 4, 1, 6, 0, 12, 78, 1, 0, 24, 0, 2, 4, 15, 1, 9, 3, 4, 21, 5, 1, 1, 1, 0, 0, 5, 1, 5, 40, 16, 8, 7, 3, 3, 4, 3, 0, 0, 0, 2, 0, 55, 19, 1, 19, 8, 0, 0, 1, 0, 2, 1, 0, 4, 0, 0, 0, 0, 1, 1, 0, 8, 1, 0, 1, 2, 1, 0, 1, 5, 0, 0, 0, 3, 0, 0, 0, 49, 0, 0, 0, 2, 1, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 8, 7, 1, 1, 0, 1, 1, 1, 76, 0, 0, 0, 8, 1, 2]
[11265, 421, 492, 413, 329, 127, 137, 133, 701, 44, 63, 35, 312, 78, 59, 83, 894, 51, 165, 45, 195, 20, 32, 37, 170, 11, 16, 27, 59, 37, 12, 36, 1065, 388, 166, 76, 490, 370, 141, 154, 255, 148, 56, 97, 78, 61, 86, 26, 231, 79, 61, 45, 80, 9, 16, 76, 104, 18, 34, 22, 308, 48, 33, 12, 951, 231, 155, 124, 102, 22, 23, 22, 83, 25, 15, 10, 81, 7, 10, 7, 56, 13, 19, 8, 22, 44, 22, 14, 41, 6, 15, 62, 42, 48, 8, 311, 173, 119, 102, 176, 132, 206, 84, 51, 78, 170, 9, 17, 127, 56, 211, 164, 280, 232, 151, 239, 260, 96, 34, 11, 60, 16, 20, 24, 22, 9, 5, 48, 186, 4, 71, 46, 74, 19, 21, 11, 58, 6, 8, 1, 143, 49, 160, 287, 65, 6, 47, 5, 51, 1, 7, 3, 31, 15, 7, 3, 20, 3, 3, 5, 107, 4, 87, 88, 78, 47, 19, 19, 32, 4, 6, 3, 74, 2, 65, 226, 82, 51, 43, 39, 50, 35, 23, 31, 25, 1, 4, 5, 15, 57, 32, 67, 72, 3, 36, 22, 26, 8, 21, 7, 24, 8, 5, 0, 18, 0, 5, 2, 45, 4, 0, 2, 31, 5, 9, 3, 18, 1, 3, 2, 79, 2, 9, 1, 93, 2, 18, 5, 19, 10, 1, 7, 11, 6, 3, 2, 26, 3, 3, 2, 46, 6, 1, 4, 34, 1, 3, 10, 86, 45, 15, 5, 52, 2, 22]
[5341, 149, 174, 241, 77, 44, 90, 28, 45, 130, 52, 12, 29, 8, 8, 5, 293, 25, 47, 10, 46, 3, 10, 10, 172, 6, 5, 5, 76, 6, 20, 21, 437, 177, 7, 14, 233, 43, 39, 177, 85, 23, 4, 20, 30, 80, 76, 16, 100, 47, 10, 11, 47, 4, 15, 4, 26, 5, 16, 4, 112, 17, 2, 1, 314, 67, 107, 65, 52, 15, 12, 13, 29, 18, 1, 1, 33, 8, 10, 5, 47, 1, 16, 15, 28, 4, 3, 2, 28, 2, 1, 3, 21, 5, 1, 50, 69, 84, 66, 65, 89, 148, 40, 37, 44, 147, 1, 11, 94, 57, 107, 114, 85, 14, 186, 144, 134, 56, 28, 15, 62, 29, 0, 0, 69, 1, 1, 2, 152, 1, 19, 5, 10, 1, 1, 3, 9, 2, 0, 0, 51, 1, 3, 451, 30, 0, 1, 3, 3, 1, 1, 6, 5, 116, 2, 0, 28, 1, 1, 0, 30, 2, 11, 3, 6, 7, 3, 4, 6, 0, 0, 0, 20, 1, 1, 224, 43, 4, 3, 0, 5, 1, 3, 0, 12, 0, 0, 2, 32, 42, 29, 40, 66, 1, 235, 42, 46, 31, 16, 11, 9, 0, 1, 1, 7, 0, 0, 1, 44, 1, 0, 0, 21, 3, 0, 2, 6, 0, 0, 1, 90, 0, 2, 0, 82, 0, 0, 1, 11, 3, 0, 0, 21, 0, 0, 0, 2, 2, 0, 0, 21, 2, 0, 1, 6, 2, 1, 2, 115, 1, 0, 3, 21, 0, 75]
[34088, 533, 1548, 1182, 695, 271, 179, 100, 1038, 50, 95, 33, 1106, 26, 30, 74, 3097, 60, 128, 19, 717, 23, 37, 39, 1143, 17, 65, 22, 364, 9, 28, 25, 3977, 2743, 32, 179, 1997, 579, 66, 852, 1118, 77, 153, 46, 524, 208, 32, 37, 1145, 165, 205, 90, 405, 72, 51, 56, 449, 46, 62, 30, 961, 864, 101, 29, 1911, 1023, 1588, 987, 309, 91, 81, 211, 265, 49, 24, 86, 262, 219, 35, 89, 188, 28, 29, 439, 211, 66, 35, 18, 120, 20, 30, 520, 186, 51, 10, 150, 708, 304, 828, 207, 356, 495, 228, 94, 121, 163, 5, 12, 152, 79, 212, 167, 217, 21, 208, 168, 243, 52, 31, 305, 228, 15, 8, 11, 259, 13, 11, 43, 669, 1, 146, 302, 77, 16, 8, 13, 62, 4, 1, 0, 517, 33, 9, 2697, 443, 1, 3, 42, 39, 2, 3, 177, 87, 8, 5, 33, 51, 4, 3, 8, 292, 2, 37, 142, 216, 27, 24, 74, 159, 4, 11, 69, 264, 3, 127, 1501, 116, 16, 14, 37, 25, 1, 8, 5, 29, 4, 4, 3, 77, 303, 303, 281, 473, 5, 2420, 859, 316, 162, 207, 173, 194, 5, 19, 0, 56, 6, 1, 7, 59, 4, 2, 3, 25, 0, 18, 5, 82, 3, 3, 2, 15, 19, 9, 3, 204, 4, 3, 4, 46, 6, 5, 4, 170, 2, 1, 2, 25, 3, 4, 3, 162, 0, 2, 2, 21, 5, 8, 15, 82, 33, 0, 9, 71, 2, 11]
